state,date,anger,fear,sadness,surprise,joy,anticipation,trust,disgust
VI,2020-01-01,0.39219204073162917,0.4545738776471967,0.0602018313766034,0.04930492743732329,0.10265939674265312,0.32917506471061186,0.6431481762095783,0.014803347115045273
VI,2020-02-01,0.7252501178917642,0.47973006308590926,0.19160840970887305,0.2215578270809102,0.5414082618966207,0.5906698220170722,0.36535081245830703,0.834719037008373
VI,2020-03-01,0.8756664148203922,0.7351812757210895,0.8008651029290809,0.533261151654549,0.18594034788629432,0.058090734212557726,0.390560349979751,0.5164872318245518
VI,2020-04-01,0.6106309934544181,0.5321607862510659,0.7416672454949537,0.7951333894057427,0.6817586231791685,0.4637549857683656,0.8394232140776717,0.6190148774130987
VI,2020-05-01,0.8263988044709913,0.5556253302729918,0.6968167334651101,0.2985777852795527,0.19831455625611316,0.5551414100599049,0.889991956559226,0.6431673301540065
VI,2020-06-01,0.7834275375326062,0.3714130605065191,0.9151473832566517,0.34937178563967064,0.06098638248645771,0.5250582253652443,0.994237310430573,0.23923240634042364
VI,2020-07-01,0.5072905230971196,0.5465511534498233,0.6969463498584075,0.5464243254182164,0.9709739950358388,0.4291604294766519,0.4634633084572177,0.8395628082902056
VI,2020-08-01,0.7412700569902282,0.8481196527844044,0.45348016342925157,0.9313821168131324,0.3214952798331814,0.46348169939768635,0.3178205566678648,0.5195285728053549
VI,2020-09-01,0.7735686160997977,0.6736072657131205,0.17544563041855188,0.751554994992511,0.36112993117030534,0.41775769866054246,0.30727866626519296,0.5417284556287177
VI,2020-10-01,0.7729155759174033,0.9509899380146438,0.8614272285618476,0.3649874474579754,0.3855010100532439,0.2229708483223929,0.1275823594783837,0.9024162418649024
VI,2020-11-01,0.07920398874806944,0.6818161344693681,0.7664114492603802,0.09959328002710455,0.8601178609798704,0.2262527296378335,0.09391984151330601,0.4700005337031191
VI,2020-12-01,0.16859775307314118,0.8353412135885846,0.28224477271079906,0.27724990318184894,0.2305758713428412,0.46931012926226745,0.5548756644633186,0.2884574605025435
VI,2021-01-01,0.6056408321065679,0.42263629467790786,0.33516137392485557,0.9151738310893301,0.5606253547818769,0.7531469442763931,0.1298884567732066,0.8230945429064606
VI,2021-02-01,0.8662636875415674,0.7939642764551488,0.5713895464805531,0.6212812780843532,0.5088071127708779,0.8531847987991327,0.8129761385422951,0.27922487690976017
VI,2021-03-01,0.8577701671250914,0.5576766371848262,0.1560062870574842,0.6659403027299136,0.09746069815723568,0.8499165706548143,0.3493174149330581,0.9033616870629755
VI,2021-04-01,0.837188930038599,0.041647887600750555,0.37778083180941247,0.7296356801136029,0.36273121585935364,0.7103313924443319,0.4974742973958405,0.9853707120370916
VI,2021-05-01,0.7988889290337022,0.26879277079151764,0.2270663117106041,0.4847983653888752,0.9613013900182898,0.6668489161285531,0.3235511819661745,0.0891797594675211
VI,2021-06-01,0.877667261950807,0.002951911862212664,0.5067746599592269,0.22688319585494177,0.167590503007777,0.952271479282255,0.975106908681254,0.9211797894611332
VI,2021-07-01,0.3910486730124928,0.2572723119174055,0.8727715122153509,0.7569990739845951,0.7412498575737629,0.13853067172685152,0.9046378297893447,0.5107707867725622
VI,2021-08-01,0.8253289880870367,0.4827697159612563,0.14836745036526644,0.12763614059534467,0.9910874437116957,0.5404457860598108,0.05365846733630664,0.6148184106616237
VI,2021-09-01,0.8283853947995283,0.6156890373265528,0.27559117824857093,0.2806152989229823,0.5679337867277721,0.5218464250845432,0.8038263028016547,0.33649016418761757
VI,2021-10-01,0.8449137334909959,0.6496392958603584,0.07884952579975091,0.23959422123650764,0.8982060199022643,0.45980158815695193,0.616174548563857,0.6146203250229786
VI,2021-11-01,0.9666905000652588,0.16727327892776778,0.14926409735377533,0.1160883395956055,0.0688658195265337,0.9142534423372929,0.20834914064030485,0.5138219713434583
VI,2021-12-01,0.9485702947217467,0.8072781148778803,0.7595386495684243,0.9746255360314316,0.15833961501524008,0.9660698346747166,0.6537649544946159,0.2878819629860182
VI,2022-01-01,0.6012612263089103,0.16717272189561594,0.5873196917871815,0.2807024680167417,0.8202970722751707,0.17767201472734495,0.8191120113740002,0.9276445138353051
VI,2022-02-01,0.32933136139965713,0.3455654734180771,0.4967747845188639,0.6545543151541949,0.37074660154535777,0.6362740485695688,0.5357824262713045,0.059487071568985805
VI,2022-03-01,0.9043853328939552,0.06594328238530545,0.182480063223448,0.3175721575412547,0.20917297188742856,0.5800657456471798,0.5717146758206852,0.46807402003025456
VI,2022-04-01,0.054246512002643854,0.6141655369798896,0.3369806527000989,0.43934897642836446,0.9427973046971658,0.17806660963366172,0.6173972280902621,0.6158241370984532
VI,2022-05-01,0.23132167234582524,0.6333394253795477,0.8465918857412943,0.6312751741366064,0.8175597043756301,0.5603968234071224,0.36756903530742424,0.24355400845663921
VI,2022-06-01,0.8259698055009467,0.18560452964802565,0.3807884868747651,0.6098420411127872,0.8191666648532865,0.3532289382142335,0.8371718182660822,0.5888738583925166
VI,2022-07-01,0.5834863032207354,0.2058922021897981,0.7640789106272663,0.20426869102269152,0.42429006621247656,0.5292902979380667,0.6833175097268483,0.5488802915147198
VI,2022-08-01,0.026533962635131747,0.9717601952552499,0.261908762233123,0.7062083039312588,0.9735421965640247,0.8292294569649744,0.7399831123162699,0.5397229198552472
VI,2022-09-01,0.4858285451431147,0.6030622306470318,0.38845136111587886,0.8105495159644455,0.5393881391497314,0.44419306582236306,0.945130760916287,0.8261733150782974
VI,2022-10-01,0.42494328806935167,0.6950225477660267,0.8391239916500598,0.31953552787971495,0.18479875180174898,0.22348720767909647,0.45093111959741083,0.06960047200183195
VI,2022-11-01,0.2527013499729043,0.40452053521689535,0.07280276053290424,0.8297841565946535,0.27012122131327054,0.4963984931060992,0.4214954215378317,0.7799390544652944
VI,2022-12-01,0.2787459410804146,0.04136480348691485,0.21916362563415448,0.0028714553487312333,0.31749635385071195,0.9856696257473829,0.24463259401356297,0.2423931734943191
VI,2023-01-01,0.27031474368864883,0.5481534275668808,0.819374277678936,0.6877363481219945,0.09929024256653818,0.26487767455334565,0.04181789151694226,0.19065458933739776
VI,2023-02-01,0.9351834605155478,0.15766169820630005,0.7727626976129987,0.5614624927478775,0.8845363702084755,0.490854649246635,0.544675987200469,0.6459264955186961
VI,2023-03-01,0.12582911374085903,0.06155053561847834,0.7106544645075721,0.0077867562019769965,0.29355296886931825,0.9133034508341622,0.7484276738122492,0.7791033333647185
VI,2023-04-01,0.7966496311238196,0.1550585085157401,0.16892001864189932,0.19048997727569172,0.003782515940813358,0.007719071183310278,0.5633145997593282,0.09243489033289409
VI,2023-05-01,0.05867704311814059,0.45726462225524145,0.37738273829926616,0.7902232942117596,0.08777072085623805,0.7908625571183925,0.26252080957076895,0.3976279240465428
VI,2023-06-01,0.8219669644872661,0.2629043140192402,0.44147309994825,0.2425295451994921,0.2848545260445686,0.20473603687248687,0.5787121263868252,0.835939906382576
VI,2023-07-01,0.6549833236602397,0.3543945328867608,0.7715414394783044,0.6146996379572973,0.6195066489888926,0.3041341763371388,0.8413507476800877,0.07878020101102279
VI,2023-08-01,0.09248434678700823,0.673207190823107,0.3956316468367065,0.9808348822775922,0.473050473135187,0.7126758356855736,0.8927090258831074,0.8844967161259112
VI,2023-09-01,0.1396447827946835,0.4415940715705704,0.620574644648614,0.43272758374055353,0.4143297151327039,0.25290640271086373,0.9737139690993649,0.07067476966390929
VI,2023-10-01,0.07289943455100134,0.4127185197888662,0.18402460577595114,0.4017841456279315,0.8537179307162002,0.8835461098462568,0.7843633479351438,0.9000117052783682
VI,2023-11-01,0.9755978912301599,0.5163972461873054,0.6959351815474145,0.5472106594874292,0.24449978665406924,0.5773887425542712,0.15968818383866867,0.29687533217842177
VI,2023-12-01,0.35999761474426095,0.8164536324535302,0.7312839802945296,0.0963396660026914,0.15458516557596647,0.3673098591076064,0.21607775414060892,0.7242463679723149
OR,2020-01-01,0.11587349221100995,0.8035784378830186,0.07068185681050232,0.9617341220707039,0.6814200299283107,0.870186140581255,0.8911166065681785,0.07571176014514636
OR,2020-02-01,0.5372795554386096,0.6105736939706052,0.16639829967253483,0.7193986815459894,0.5842861855289676,0.8111089393569695,0.4805294742699404,0.6956343028428524
OR,2020-03-01,0.832100273850403,0.9983686429891847,0.8543925559884173,0.3679944707616354,0.18778159408694528,0.22665571491091974,0.2576785960321448,0.16191314606961082
OR,2020-04-01,0.2681570068158672,0.16734173393888685,0.6745141622646263,0.7499188049432839,0.8133289341200338,0.3553874692499869,0.7326811144139069,0.02459705742296403
OR,2020-05-01,0.2987993654486508,0.44881846289779115,0.07434431180835732,0.016873806126110114,0.3680946788459637,0.15436395130144043,0.19329299561805813,0.2015405463616753
OR,2020-06-01,0.1861437157744582,0.46825836469169924,0.382571832871054,0.546190499388019,0.3259921377441807,0.1831677989415451,0.7064154807179407,0.5496418374174628
OR,2020-07-01,0.035211258195658623,0.15358142473125025,0.9888270789401087,0.037726617505335125,0.012858677167279842,0.49554517615081495,0.5972612496414444,0.24050169183019687
OR,2020-08-01,0.21976519929823468,0.33074212471227127,0.1599817941972672,0.06043391679333365,0.6295462530401762,0.6715802684823227,0.685629328683171,0.7942623708665159
OR,2020-09-01,0.7310729418541724,0.21415137308855758,0.40123546423352185,0.5773104775236968,0.26336635956475196,0.44458449809202827,0.9324219874035474,0.39760410347100505
OR,2020-10-01,0.2567035776202329,0.4695940522396588,0.9599425907989754,0.9344619600368326,0.14006990611162584,0.25992224082863014,0.22593790803986624,0.6943503149894014
